sample,time,code,chan,trialIdx,trialRawTmin.sample,trialRawTmin.time,trialRawT0.sample,trialRawT0.time,trialRawTmax.sample,trialRawTmax.time
3861,3.4697265625,350,0,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
3900,3.5078125,351,0,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
3921,3.5283203125,350,0,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
3952,3.55859375,351,0,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
6762,6.302734375,350,1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
6810,6.349609375,351,1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
6887,6.4248046875,350,1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
6959,6.4951171875,351,1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
7223,6.7529296875,350,1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
7281,6.8095703125,351,1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
8500,8.0,115,-1,24,441454,431.107421875,441762,431.408203125,455074,444.408203125
